id,origin,normalize,predict
5813752,animation+app+apple+calendar+dark+free+freebie+ios+list+listen+music+pink+player+pop+radio+round+rounded+social,listen+radio+social+apple+mobile+free+calendar+ios+list+rounded+player+round+black+music+animation+pink+freebie+pop,mobile+website+music+pink+black
6731747,app+card+design+electricity+list+shop+sketch+ui,ui+electricity+mobile+shop+list+sketch+design+card,mobile
5506716,card total water humidity+description card item+interface infographics+mobile store e-commerce+plant shopping card+plants monstro green+price list cart+side menu stats+sunshine table suggestion,description card item+side menu stats+mobile store e-commerce+sunshine table suggestion+plant shopping card+price list cart+plants monstro green+card total water humidity+interface infographics,mobile+green
5979311,app+banking+cards+clean+financial+gradient+list+mobile+ui+ux,gradient+ui+mobile+ux+cards+list+finance+simple+website,mobile+website+finance
6247934,app+bank+card+design+list+map+sketch+tourism+ui,travel+ui+mobile+map+list+sketch+design+finance+card,mobile+finance+travel
6496205,app+clean+details+gallery+list+movie+player+price+shop+tv+ui+video+web,price+movie+ui+mobile+gallery+details+shop+list+tv+player+video+simple+website,mobile+website
5520405,after effects+colors+cuberto+fashion+graphics+list+portfolio+scroll+ui+ux+waves+work,ui+waves+work+colors+portfolio+fashion+ux+after effects+list+cuberto+scroll+graphics,mobile
6430068,assign+clean ui+daily+daily task+editorial+ios app design+minimal app concept+mobile+task+task app+text field+todo+to do app+todo app+todo list,text field+to do app+clean ui+todo+task app+daily task+mobile+todo list+todo app+editorial+daily+task+ios app design+minimal app concept+website+assign,mobile+website
6399338,app+art+blue+branding+cards+clean+dark+design+flat+graphic design+list+main page+material+mobile+promo+swiss+typography+ui+ux+vibrant,ui+branding+list+design+website+promo+main page+mobile+ux+material+cards+vibrant+swiss+graphic design+black+blue+art+flat+typography+simple,mobile+website+black+blue
6834182,barchart+card+creative+crm+graph+grey+list+minimal+orange+overview+report+typography+ui+ux+violet,report+overview+yellow+ui+barchart+violet+grey+creative+typography+ux+list+crm+card+graph+simple,mobile+dashboard+yellow
5908382,after effects ae interface+animation motion gif+clean style white color+color fluid selection list menu+ios iphone x iphonex+mobile app ui ux design+pink purple blue green orange+social network media+tree man house vacation glass+white background,pink purple blue green orange+color fluid selection list menu+after effects ae interface+ios iphone x iphonex+social network media+animation motion gif+mobile app ui ux design+tree man house vacation glass+clean style white color+white background,website+music
6934218,app+application+arounda+calendar+concept+golden grid+illustration+interface+list+manager+mobile+planning+ratio+schedule+sketch+task+to do+ui+ux+web,manager+ui+mobile+illustration+ratio+interface+ux+golden grid+calendar+list+task+planning+schedule+sketch+to do+arounda+website+concept,mobile+website
4127860,chart+events+iphone+layout+list+mobile+profile+statistics+tasks+to-do+ui+ux,statistics+to-do+ui+tasks+chart+mobile+ux+events+list+layout+profile+website,mobile+website+chart+profile
6979809,app+audio+black+dance+dark+details+info+list+media+mobile+music+profile+show+ui+video,dance+show+ui+mobile+details+list+info+profile+black+video+music+media+audio+website,mobile+website+profile+music+black
6491406,app+dashboard+edit data+excel+import+interface+list+minimal+modal+product+ui+ux,import+modal+product+ui+mobile+interface+ux+edit data+dashboard+list+excel+simple,mobile+dashboard
6630194,app design+app design inspiration+app ui+inspiration+ios app+list+mobile app design+music+play+player+playlist+profile+radio+song,play+mobile app design+radio+mobile+song+list+inspiration+player+profile+music+app design inspiration+app ui,mobile+profile+music
4773052,app+interface+ios+mobileapp+schedule+task+tasks+todo+ui+uidesign,todo+ui+tasks+mobile+interface+task+schedule+ios+website,mobile+website
6685715,block+card+clean+creative+dashboard+dashboard app+dashboard design+dashboard kit+dashboard ui+list+menu+minimal+product design+sketchapp+tranmautritam+ui design+user experience+user interface+web design+widget,dashboard ui+sketchapp+web design+block+dashboard app+dashboard kit+tranmautritam+ui+menu+dashboard design+widget+creative+dashboard+list+card+user experience+simple+product design,mobile+dashboard
